id,veikla,wbs,etapas,iteracija,sanaudos_zmd,zmones,trukme_dd,pradzia,pabaiga,priklauso_nuo,laukimo_laikas_dd,laisvas_laikas_dd,kritine,roles
A34,Prieigos kontrolės pagrindų įgyvendinimas,2.1 / S4,Kūrimas,1 iteracija,6,1,6,2026-12-30,2027-01-07,A28,0,0,taip,programuotojas (serverio dalis ir DB) 1
A35,1 iteracijos stabilizavimas ir demonstracija užsakovui,5.1 / Testavimas,Kūrimas,1 iteracija,4.8,3,2,2027-01-08,2027-01-11,A26 A27 A34 A33 A31 A30,0,0,taip,testuotojas 1; programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A36,2 iteracijos detalusis projektavimas,2.2 / Projektavimas,Kūrimas,2 iteracija,5,2.5,2,2027-01-08,2027-01-11,A26 A27 A34 A33,0,0,taip,"sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1; projekto vadovas-analitikas 0,5"
A37,Užsiėmimų programų ir pratimų valdymo kūrimas,3.2 / P1,Kūrimas,2 iteracija,39.5,2,20,2027-01-12,2027-02-08,A36 A35,0,0,taip,programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A38,"Vykdymo variklio atsparumo didinimas: ryšio praradimas, nuotolinis paleidimas iš naujo",3.5 / S1,Kūrimas,2 iteracija,16.5,1,17,2027-01-12,2027-02-03,A36 A35,0,3,,sistemos architektas-programuotojas 1
A39,Vaizdinio turinio pateikimo ekrane kūrimas,4.1 / P5,Kūrimas,2 iteracija,8.5,1,9,2027-01-12,2027-01-22,A36 A35 A32,0,1,,programuotojas (Android grotuvas ir garsas) 1
A40,2 iteracijos testavimas,5.1 / Testavimas,Kūrimas,2 iteracija,10,0.5,20,2027-01-12,2027-02-08,A36 A35,0,0,taip,"testuotojas 0,5"
A41,Įrangos montavimas baseine ir sporto salėje,"4.3, 5.2 / N1",Kūrimas,2 iteracija,14,1,14,2027-01-22,2027-02-10,A23,30,41,,techninės įrangos specialistas 1
A42,Grotuvo autonominio režimo kūrimas: turinio talpykla ir atsistatymas,4.1 / S2,Kūrimas,2 iteracija,10,1,10,2027-01-25,2027-02-05,A39,0,1,,programuotojas (Android grotuvas ir garsas) 1
A43,2 iteracijos stabilizavimas ir demonstracija užsakovui,5.1 / Testavimas,Kūrimas,2 iteracija,4.8,3,2,2027-02-09,2027-02-10,A37 A38 A42 A40,0,0,taip,testuotojas 1; programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A44,3 iteracijos detalusis projektavimas,2.1 / Projektavimas,Kūrimas,3 iteracija,5,2.5,2,2027-02-09,2027-02-10,A37 A38 A42,0,0,taip,"sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1; projekto vadovas-analitikas 0,5"
A45,"Užsiėmimų valdymo kūrimas: planavimas tvarkaraštyje, paleidimas ir valdymo pultas",3.3 / P2,Kūrimas,3 iteracija,33.5,2,17,2027-02-11,2027-03-08,A44 A43,0,3,,programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A46,"Paskyrų, vaidmenų ir registracijos kūrimas",3.1 / P0,Kūrimas,3 iteracija,22,2,11,2027-02-11,2027-02-26,A44 A43,0,0,taip,sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1
A47,3 iteracijos testavimas,5.1 / Testavimas,Kūrimas,3 iteracija,10,0.5,20,2027-02-11,2027-03-12,A44 A43,0,0,taip,"testuotojas 0,5"
A48,Asmens duomenų apsaugos ir prieigos teisių įgyvendinimas,2.1 / S4,Kūrimas,3 iteracija,5,1,5,2027-03-01,2027-03-05,A46,0,4,,sistemos architektas-programuotojas 1
A49,Užsiėmimų vykdymo duomenų ir istorijos kaupimo kūrimas,3.4 / P7,Kūrimas,3 iteracija,9,1,9,2027-03-01,2027-03-12,A46,0,0,taip,programuotojas (Android grotuvas ir garsas) 1
A50,3 iteracijos stabilizavimas ir demonstracija užsakovui,5.1 / Testavimas,Kūrimas,3 iteracija,4.8,3,2,2027-03-15,2027-03-16,A45 A48 A49 A47,0,0,taip,testuotojas 1; programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A51,4 iteracijos detalusis projektavimas,2.2 / Projektavimas,Kūrimas,4 iteracija,5,2.5,2,2027-03-15,2027-03-16,A45 A48 A49,0,0,taip,"sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1; projekto vadovas-analitikas 0,5"
A52,"Dalyvių valdymo kūrimas: rezervacijos, lankomumas ir priminimai","3.3, 3.4 / P3",Kūrimas,4 iteracija,26,2,13,2027-03-17,2027-04-05,A51 A50,0,2,,programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A53,Asmeninių programų valdymo kūrimas,"3.2, 3.4 / P4",Kūrimas,4 iteracija,23,2,12,2027-03-17,2027-04-02,A51 A50,0,0,taip,sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1
A54,4 iteracijos testavimas,5.1 / Testavimas,Kūrimas,4 iteracija,7.5,0.5,15,2027-03-17,2027-04-07,A51 A50,0,0,taip,"testuotojas 0,5"
A55,"Naudotojo dokumentacijos rengimas: trenerio, dalyvio ir administratoriaus vadovai",5.3 / N4,Kūrimas,4 iteracija,14,0.85,17,2027-03-17,2027-04-09,A51,0,20,,"projekto vadovas-analitikas 0,85"
A56,"Saugumo stiprinimas, stebėsenos ir atsarginių kopijų įdiegimas",2.1 / S4,Kūrimas,4 iteracija,6,2,3,2027-04-05,2027-04-07,A53,0,0,taip,sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1
A57,4 iteracijos stabilizavimas ir demonstracija užsakovui,5.1 / Testavimas,Kūrimas,4 iteracija,4.8,3,2,2027-04-08,2027-04-09,A52 A56 A54,0,0,taip,testuotojas 1; programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A58,Diegimo ir bandymų objekte koordinavimas su užsakovu,1.2 / Projekto valdymas,Diegimas ir palaikymas,,4,0.2,20,2027-04-12,2027-05-07,A57 A24,0,58,,"projekto vadovas-analitikas 0,2"
A59,"Sistemos, vaidmenų prieigos ir saugumo bandymai",5.1 / Testavimas,Diegimas ir palaikymas,,15,3,5,2027-04-12,2027-04-16,A57,0,0,taip,testuotojas 1; programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1
A60,Programinės įrangos diegimas objekte ir grotuvų konfigūravimas,5.2 / N3,Diegimas ir palaikymas,,9,3,3,2027-04-12,2027-04-14,A57 A41,0,2,,sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1; techninės įrangos specialistas 1
A61,Laiko rezervas prieš bandymus objekte (B1),– / Laiko rezervas,Diegimas ir palaikymas,,0,0,8,2027-04-19,2027-04-28,A59 A60,0,0,taip,nėra (0 žm. d.)
A62,Integraciniai bandymai baseine,5.2 / N3,Diegimas ir palaikymas,,20,4,5,2027-04-29,2027-05-05,A61,0,0,taip,techninės įrangos specialistas 1; programuotojas (Android grotuvas ir garsas) 1; testuotojas 1; sistemos architektas-programuotojas 1
A63,Integraciniai bandymai sporto salėje,5.2 / N3,Diegimas ir palaikymas,,8,4,2,2027-05-06,2027-05-07,A62,0,0,taip,techninės įrangos specialistas 1; programuotojas (Android grotuvas ir garsas) 1; testuotojas 1; sistemos architektas-programuotojas 1
A64,Trenerių ir administratorių mokymai,5.3 / N4,Diegimas ir palaikymas,,12,2,6,2027-05-10,2027-05-17,A63 A55,0,0,taip,projekto vadovas-analitikas 1; techninės įrangos specialistas 1
A65,Pilotinis naudojimas: 4 savaitės realių užsiėmimų,5.3 / N5,Diegimas ir palaikymas,,20,1,20,2027-05-18,2027-06-14,A64,0,0,taip,"techninės įrangos specialistas 0,5; projekto vadovas-analitikas 0,5"
A66,Piloto metu rastų defektų taisymas ir regresinis testavimas,5.3 / Testavimas,Diegimas ir palaikymas,,10,0.5,20,2027-05-18,2027-06-14,A64,0,0,taip,"programuotojas (Android grotuvas ir garsas) 0,25; testuotojas 0,25"
A67,Piloto valdymas ir komunikacija su užsakovu,1.2 / Projekto valdymas,Diegimas ir palaikymas,,5,0.25,20,2027-05-18,2027-06-14,A64,0,0,taip,"projekto vadovas-analitikas 0,25"
A68,Naudotojų priėmimo bandymas,5.3 / N5,Diegimas ir palaikymas,,6,2,3,2027-06-15,2027-06-17,A65 A66 A67,0,0,taip,projekto vadovas-analitikas 1; testuotojas 1
A69,Laiko rezervas prieš perdavimą (B2),– / Laiko rezervas,Diegimas ir palaikymas,,0,0,5,2027-06-18,2027-06-25,A68,0,0,taip,nėra (0 žm. d.)
A70,Sistemos perdavimas užsakovui,5.3 / N5,Diegimas ir palaikymas,,3.5,2,2,2027-06-28,2027-06-29,A69,0,0,taip,projekto vadovas-analitikas 1; sistemos architektas-programuotojas 1
A71,Garantinis palaikymas (20 d. d.),5.3 / N5,Diegimas ir palaikymas,,10,0.5,20,2027-06-30,2027-07-28,A70,0,0,taip,"sistemos architektas-programuotojas 0,25; testuotojas 0,25"
A72,Projekto uždarymas ir pamokų aptarimas,1.2 / Projekto valdymas,Diegimas ir palaikymas,,2.2,1.1,2,2027-07-29,2027-07-30,A71,0,0,taip,"projekto vadovas-analitikas 1; sistemos architektas-programuotojas 0,1"
